id,name,category,address,city,region,country,latitude,longitude,rating,is_closed
1,Mt Albert Brunch Club 1,Cafe,"604 Queen St, Kingsland",Auckland,Auckland,New Zealand,-36.823042,174.776853,2.7,False
2,Devonport Deli 2,Cafe,"390 Albert St, Newmarket",Auckland,Auckland,New Zealand,-36.870159,174.66462,3.4,False
3,Mt Albert Coffee Roasters 3,Restaurant,"388 High St, Parnell",Auckland,Auckland,New Zealand,-36.755271,174.846379,4.7,False
4,Takapuna Coffee Roasters 4,Cafe,"234 Ponsonby Rd, Remuera",Auckland,Auckland,New Zealand,-36.71966,174.701881,3.8,True
5,Sandringham Eatery 5,Cafe,"215 Ponsonby Rd, Kingsland",Auckland,Auckland,New Zealand,-36.882019,174.738023,2.8,True
6,St Heliers Bistro 6,Restaurant,"656 Great North Rd, Mission Bay",Auckland,Auckland,New Zealand,-36.784009,174.602922,3.8,False
7,Harbour Deli 7,Cafe,"68 Nuffield St, Devonport",Auckland,Auckland,New Zealand,-36.767332,174.64025,3.0,False
8,Sylvia Park Eatery 8,Cafe,"253 High St, Mission Bay",Auckland,Auckland,New Zealand,-36.807534,174.715752,4.6,False
9,Grey Lynn Eatery 9,Cafe,"94 Parnell Rd, Ponsonby",Auckland,Auckland,New Zealand,-36.713014,174.717252,4.2,False
10,St Heliers Brunch Club 10,Cafe,"480 Mt Eden Rd, Howick",Auckland,Auckland,New Zealand,-36.79985,174.790073,3.8,False
11,Mt Albert Bistro 11,Restaurant,"349 Tamaki Dr, Newmarket",Auckland,Auckland,New Zealand,-37.062117,174.842186,4.5,False
12,Kingsland Bakery 12,Restaurant,"520 Tamaki Dr, Newmarket",Auckland,Auckland,New Zealand,-36.67598,174.928108,3.3,True
13,Newmarket Bakery 13,Restaurant,"945 Queen St, Howick",Auckland,Auckland,New Zealand,-36.942317,174.706963,4.5,False
14,Mission Bay Kitchen 14,Cafe,"900 Ponsonby Rd, Parnell",Auckland,Auckland,New Zealand,-36.981748,174.702442,3.7,True
15,Ponsonby Eatery 15,Cafe,"970 Symonds St, Mission Bay",Auckland,Auckland,New Zealand,-36.652459,174.766509,4.9,True
16,Mt Albert Kitchen 16,Restaurant,"409 Kitchener St, Sandringham",Auckland,Auckland,New Zealand,-36.870017,174.631026,3.2,False
17,Pohutukawa Cafe & Bar 17,Cafe,"603 Queen St, Grey Lynn",Auckland,Auckland,New Zealand,-36.923965,174.527022,4.7,False
18,Remuera Coffee Roasters 18,Cafe,"286 Jervois Rd, Onehunga",Auckland,Auckland,New Zealand,-36.930832,174.949967,4.8,True
19,Grafton Espresso Bar 19,Restaurant,"195 Parnell Rd, Newmarket",Auckland,Auckland,New Zealand,-36.721252,174.782413,3.0,False
20,Viaduct Coffee Roasters 20,Cafe,"746 Parnell Rd, Epsom",Auckland,Auckland,New Zealand,-36.873311,174.919981,4.3,False
21,Ellerslie Espresso Bar 21,Cafe,"946 Kitchener St, Parnell",Auckland,Auckland,New Zealand,-36.863195,174.726059,3.8,False
22,Mt Albert Cafe 22,Restaurant,"949 Symonds St, Grey Lynn",Auckland,Auckland,New Zealand,-36.989372,174.812268,4.5,False
23,Newmarket Brunch Club 23,Cafe,"400 Kitchener St, Kingsland",Auckland,Auckland,New Zealand,-36.730072,174.947623,4.7,False
24,Papatoetoe Eatery 24,Cafe,"223 Nuffield St, Ponsonby",Auckland,Auckland,New Zealand,-36.78354,174.872932,2.6,False
25,Manukau Bakery 25,Restaurant,"544 K Rd, Takapuna",Auckland,Auckland,New Zealand,-36.902009,174.512409,2.6,False
26,Grafton Brunch Club 26,Cafe,"912 Nuffield St, Grey Lynn",Auckland,Auckland,New Zealand,-36.947592,174.789546,4.7,False
27,Greenlane Deli 27,Restaurant,"210 Great North Rd, Epsom",Auckland,Auckland,New Zealand,-36.871083,174.785221,4.2,False
28,SkyCity Cafe 28,Cafe,"577 Ponsonby Rd, Newmarket",Auckland,Auckland,New Zealand,-36.810505,174.739442,4.6,True
29,SkyCity Kitchen 29,Cafe,"162 High St, Henderson",Auckland,Auckland,New Zealand,-36.971326,174.696564,3.4,True
30,Kauri Bakery 30,Cafe,"680 Dominion Rd, Newmarket",Auckland,Auckland,New Zealand,-36.639948,174.813027,4.9,True
31,Howick Cafe & Bar 31,Cafe,"352 Mt Eden Rd, Devonport",Auckland,Auckland,New Zealand,-36.779438,174.597921,4.3,False
32,Onehunga Bistro 32,Cafe,"342 Mt Eden Rd, Mt Eden",Auckland,Auckland,New Zealand,-36.707145,174.513143,4.5,True
33,Karangahape Coffee Roasters 33,Restaurant,"708 High St, Mt Eden",Auckland,Auckland,New Zealand,-36.791811,174.776729,4.4,False
34,Harbour Bistro 34,Cafe,"956 Albert St, Ponsonby",Auckland,Auckland,New Zealand,-36.836504,174.729099,4.3,False
35,Henderson Cafe & Bar 35,Restaurant,"948 Symonds St, Grey Lynn",Auckland,Auckland,New Zealand,-36.986646,174.871237,3.7,False
36,Remuera Brunch Club 36,Restaurant,"885 Mt Eden Rd, Grey Lynn",Auckland,Auckland,New Zealand,-36.72175,174.479033,4.7,True
37,Manukau Kitchen 37,Cafe,"941 Albert St, Henderson",Auckland,Auckland,New Zealand,-36.881327,174.498786,4.8,False
38,Takapuna Brunch Club 38,Cafe,"886 Mt Eden Rd, Parnell",Auckland,Auckland,New Zealand,-36.93133,174.477223,4.6,False
39,Remuera Cafe 39,Cafe,"994 Symonds St, Kingsland",Auckland,Auckland,New Zealand,-36.800151,174.907105,5.0,False
40,Epsom Deli 40,Cafe,"524 Customs St, Newmarket",Auckland,Auckland,New Zealand,-37.030847,174.790135,2.8,False
41,Greenlane Bakery 41,Cafe,"963 Albert St, Devonport",Auckland,Auckland,New Zealand,-37.025513,174.731491,5.0,False
42,Karangahape Bistro 42,Cafe,"683 Victoria St, Albany",Auckland,Auckland,New Zealand,-36.699517,174.800519,4.4,False
43,St Heliers Eatery 43,Cafe,"309 High St, St Heliers",Auckland,Auckland,New Zealand,-36.973861,174.725503,3.0,False
44,Royal Oak Deli 44,Cafe,"453 Quay St, Devonport",Auckland,Auckland,New Zealand,-36.937911,174.874192,4.9,False
45,Wynyard Bistro 45,Cafe,"649 Ponsonby Rd, Epsom",Auckland,Auckland,New Zealand,-36.759678,174.60679,3.6,False
46,Takapuna Eatery 46,Cafe,"251 St Lukes Rd, Onehunga",Auckland,Auckland,New Zealand,-36.802239,174.637927,2.6,False
47,Takapuna Brunch Club 47,Cafe,"250 Queen St, Mt Eden",Auckland,Auckland,New Zealand,-36.872393,174.803157,3.8,False
48,Grey Lynn Eatery 48,Restaurant,"713 Kitchener St, Howick",Auckland,Auckland,New Zealand,-36.719653,174.870357,4.3,False
49,Sylvia Park Bakery 49,Restaurant,"610 Kitchener St, Epsom",Auckland,Auckland,New Zealand,-36.737688,174.739158,3.6,False
50,Orakei Espresso Bar 50,Restaurant,"762 Kitchener St, Onehunga",Auckland,Auckland,New Zealand,-36.848803,174.89919,4.3,False
51,Greenlane Espresso Bar 51,Cafe,"282 Ponsonby Rd, Henderson",Auckland,Auckland,New Zealand,-36.81282,174.863915,2.9,False
52,Wynyard Eatery 52,Cafe,"393 Jervois Rd, Mt Eden",Auckland,Auckland,New Zealand,-36.895107,174.940439,4.5,False
53,Devonport Brunch Club 53,Cafe,"789 Nuffield St, Auckland CBD",Auckland,Auckland,New Zealand,-36.83911,174.72369,4.1,False
54,Henderson Bakery 54,Restaurant,"560 Shortland St, Grey Lynn",Auckland,Auckland,New Zealand,-36.89031,174.857775,4.5,False
55,Albany Eatery 55,Restaurant,"942 St Lukes Rd, Mt Eden",Auckland,Auckland,New Zealand,-37.039766,174.691041,4.9,True
56,Wynyard Brunch Club 56,Cafe,"473 K Rd, Takapuna",Auckland,Auckland,New Zealand,-36.825861,174.816793,4.4,False
57,St Heliers Bistro 57,Restaurant,"852 Mt Eden Rd, Albany",Auckland,Auckland,New Zealand,-36.861594,174.691634,3.2,False
58,Epsom Kitchen 58,Cafe,"800 Queen St, Ponsonby",Auckland,Auckland,New Zealand,-36.777121,174.514567,2.8,False
59,Ponsonby Espresso Bar 59,Cafe,"578 Kitchener St, Devonport",Auckland,Auckland,New Zealand,-37.049527,174.59596,3.7,False
60,Karangahape Eatery 60,Restaurant,"111 Tamaki Dr, Auckland CBD",Auckland,Auckland,New Zealand,-36.955177,174.794263,4.9,False
61,Takapuna Coffee Roasters 61,Cafe,"851 Parnell Rd, Grey Lynn",Auckland,Auckland,New Zealand,-36.883405,174.981975,3.0,False
62,Herne Bay Cafe 62,Cafe,"439 Ponsonby Rd, Sandringham",Auckland,Auckland,New Zealand,-36.798665,174.884862,4.4,False
63,Britomart Brunch Club 63,Restaurant,"651 Dominion Rd, Henderson",Auckland,Auckland,New Zealand,-36.737124,174.894366,4.8,False
64,Mt Albert Espresso Bar 64,Cafe,"846 Victoria St, Kingsland",Auckland,Auckland,New Zealand,-36.665695,174.660885,3.7,False
65,Grafton Espresso Bar 65,Cafe,"685 Victoria St, St Heliers",Auckland,Auckland,New Zealand,-36.995919,174.932155,4.9,True
66,Kingsland Deli 66,Cafe,"611 High St, Kingsland",Auckland,Auckland,New Zealand,-36.949235,174.631202,5.0,False
67,Papatoetoe Bakery 67,Restaurant,"708 Shortland St, Onehunga",Auckland,Auckland,New Zealand,-36.996551,174.841887,4.1,False
68,Grafton Bistro 68,Cafe,"378 High St, Onehunga",Auckland,Auckland,New Zealand,-36.90822,174.719232,4.5,False
69,Sylvia Park Bistro 69,Cafe,"237 Jervois Rd, Newmarket",Auckland,Auckland,New Zealand,-36.778208,174.68872,4.8,False
70,Takapuna Kitchen 70,Restaurant,"284 St Lukes Rd, Howick",Auckland,Auckland,New Zealand,-36.67836,174.828447,4.2,True
71,Mt Eden Bistro 71,Cafe,"547 Mt Eden Rd, Mt Eden",Auckland,Auckland,New Zealand,-36.944229,174.639428,4.1,False
72,Papatoetoe Coffee Roasters 72,Restaurant,"588 Shortland St, Remuera",Auckland,Auckland,New Zealand,-36.908906,174.984645,4.4,True
73,Manukau Coffee Roasters 73,Restaurant,"411 Ponsonby Rd, Onehunga",Auckland,Auckland,New Zealand,-36.665672,174.652239,4.7,False
74,Mission Bay Coffee Roasters 74,Restaurant,"122 Wellesley St, Mission Bay",Auckland,Auckland,New Zealand,-36.962283,174.88799,3.7,False
75,Pakuranga Espresso Bar 75,Cafe,"603 Tamaki Dr, Albany",Auckland,Auckland,New Zealand,-36.932039,174.762913,4.2,False
76,Devonport Kitchen 76,Cafe,"84 Great North Rd, Takapuna",Auckland,Auckland,New Zealand,-36.670614,174.558136,4.2,False
77,Royal Oak Espresso Bar 77,Cafe,"238 Tamaki Dr, Remuera",Auckland,Auckland,New Zealand,-37.081712,174.736938,3.2,False
78,Meadowbank Kitchen 78,Cafe,"558 Dominion Rd, Grey Lynn",Auckland,Auckland,New Zealand,-36.797679,174.96543,3.7,False
79,Mission Bay Cafe & Bar 79,Restaurant,"583 Kitchener St, Remuera",Auckland,Auckland,New Zealand,-37.005521,174.604481,4.7,True
80,Otahuhu Bakery 80,Cafe,"83 Wellesley St, Ponsonby",Auckland,Auckland,New Zealand,-36.793735,174.983197,3.4,False